date,reply count,sentiment type,sentiment score,change_percent,volume
2013-05-09,344,positive,0.8707341,24.4,28604967
2015-01-30,434,positive,0.8129757,-0.78,3006958
2015-03-30,970,positive,0.62389296,3.01,10089519
2015-04-02,341,positive,0.9602046,1.82,5010367
2016-04-11,1218,positive,0.9708269,-0.06,9161692
2016-05-06,392,positive,0.91406596,1.61,5685236
2016-07-11,717,positive,0.90139216,3.69,5429821
2016-07-19,740,positive,0.6650475,-0.44,3115064
2016-09-22,365,positive,0.61063766,0.59,2382901
2016-10-10,619,positive,0.5430749,2.21,3316296
2016-10-31,783,positive,0.7834957,-1.12,4692272
2016-11-18,408,positive,0.9359608,-1.93,5210346
2016-12-22,642,positive,0.80989766,0.36,3111107
2017-02-07,688,positive,0.81062245,-0.11,4244774
2017-02-16,759,positive,0.9291161,-3.86,7077321
2017-04-07,738,positive,0.79843616,1.29,4579612
2017-04-12,700,positive,0.7854245,-3.85,6050681
2017-04-13,1634,positive,0.9821363,2.41,9284633
2017-05-10,635,positive,0.9684874,1.23,5741606
2017-05-22,808,positive,0.9880735,-0.15,4329177
2017-07-12,1266,positive,0.84167635,0.7,10346129
2017-07-17,866,positive,0.5231863,-2.5,9876911
2017-07-26,570,positive,0.9804794,1.25,4820789
2017-08-07,850,positive,0.97645944,-0.49,6324479
2017-10-27,1114,positive,0.7991388,-1.63,6979703
2017-11-13,2509,positive,0.78830814,4.1,7584943
2017-12-04,3484,positive,0.48190925,-0.43,5835139
2017-12-21,702,positive,0.9917913,0.81,4385221
2017-12-26,13724,positive,0.87823707,-2.43,4378412
2018-02-26,338,positive,0.97419786,1.53,4339984
2018-04-19,1913,positive,0.50462264,2.29,6090598
2018-05-10,547,positive,0.9493365,-0.6,5651560
2018-05-11,292,positive,0.4682473,-1.3,4679648
2018-05-21,1091,positive,0.8218905,2.77,9182570
2018-05-22,11944,positive,0.98423594,-3.33,8945755
2018-05-30,478,positive,0.70861775,2.81,7489685
2018-06-01,586,positive,0.74387646,2.49,5424385
2018-06-11,1912,positive,0.87003994,4.55,13183469
2018-06-18,1319,positive,0.99040514,3.53,12073229
2018-06-19,366,positive,0.980452,-4.93,12761899
2018-06-22,917,positive,0.9509295,-3.99,10266059
2018-07-02,4367,positive,0.9593797,-2.3,18759769
2018-07-12,1050,positive,0.9897475,-0.71,5721165
2018-07-13,489,positive,0.8055118,0.68,5875769
2018-07-26,773,positive,0.5428917,-0.68,4630521
2018-08-01,1302,positive,0.9771274,0.91,10129429
2018-08-02,3897,positive,0.9390006,16.19,23214960
2018-08-06,315,positive,0.9876609,-1.77,8564331
2018-08-13,617,positive,0.9847178,0.26,10463879
2018-08-14,622,positive,0.9693938,-2.46,6986427
2018-08-20,605,positive,0.983216,0.96,17402339
2018-08-24,1274,positive,0.78247064,0.85,3602563
2018-08-27,595,positive,0.67171276,-1.1,13079289
2018-09-04,282,positive,0.98449624,-4.21,8350468
2018-09-13,1238,positive,0.55847675,-0.37,6340335
2018-09-17,1058,positive,0.71123976,-0.12,6887576
2018-09-24,326,positive,0.98266214,0.19,4842960
2018-09-26,2393,positive,0.9226014,2.85,7843215
2018-10-01,1011,positive,0.9909347,17.35,21777599
2018-10-08,849,positive,0.8561688,-4.35,13472649
2018-10-12,3351,positive,0.7735648,2.6,7201403
2018-10-15,903,positive,0.8729992,0.31,6199964
2018-10-19,3040,positive,0.9325335,-1.48,9375548
2018-10-25,1906,positive,0.97138697,9.14,20840720
2018-10-26,466,positive,0.9782688,5.09,27425518
2018-10-30,3260,positive,0.76973605,-1.48,9126703
2018-10-31,539,positive,0.8050095,2.25,7624347
2018-11-01,796,positive,0.69969004,2.06,8000131
2018-11-08,341,positive,0.98755187,0.93,7090673
2018-11-09,20078,positive,0.54771304,-0.25,5098845
2018-11-12,2319,positive,0.8102428,-5.49,6941522
2018-11-14,405,positive,0.93048745,1.56,5040286
2018-11-15,1254,positive,0.65099883,1.29,4625717
2018-11-20,735,positive,0.7913316,-1.69,8004708
2018-11-27,1329,positive,0.9628182,-0.6,6358299
2018-11-29,1194,positive,0.96480066,-1.93,3080723
2018-11-30,271,positive,0.5964176,2.73,5628894
