date,change_percent,volume
2011-03-25,1.88,567922
2011-03-28,2.2,1058017
2011-03-29,2.88,755591
2011-03-30,-0.88,1223876
2011-03-31,17.04,11522339
2011-04-01,-3.93,2865086
2011-04-04,-3.11,2609226
2011-04-05,3.37,3181726
2011-04-06,-0.79,1288296
2011-04-07,2.83,2810765
2011-04-08,-2.75,1946351
2011-04-11,-4.6,1372199
2011-04-12,-2.46,1357400
2011-04-13,1.14,1211443
2011-04-14,0.84,983381
2011-04-15,1.75,943450
2011-04-18,-2.15,1033870
2011-04-19,0.52,548693
2011-04-20,2.35,837468
2011-04-21,3.84,1386052
2011-04-25,-1.31,800838
2011-04-26,2.05,1372342
2011-04-27,0.56,996900
2011-04-28,2.14,1644996
2011-04-29,-0.22,726340
2011-05-02,-0.54,784559
2011-05-03,-2.11,913964
2011-05-04,-0.67,1047168
2011-05-05,-0.93,1219448
2011-05-06,2.57,981605
2011-05-09,2.91,916302
2011-05-10,1.5,1535625
2011-05-11,-4.45,962964
2011-05-12,2.22,627740
2011-05-13,-0.43,661577
2011-05-16,-3.45,755622
2011-05-17,-2.4,1234155
2011-05-18,1.5,729407
2011-05-19,7.02,2655366
2011-05-20,-0.81,842533
2011-05-23,-4.11,863547
2011-05-24,-0.37,613673
2011-05-25,8.46,4693810
2011-05-26,1.72,3336890
2011-05-27,0.24,1687068
2011-05-31,1.99,3290521
2011-06-01,-5.38,1530395
2011-06-02,0.85,986293
2011-06-03,4.77,6210208
2011-06-06,-4.75,2331766
2011-06-07,-1.15,1222098
2011-06-08,-4.4,1696935
2011-06-09,1.84,1604219
2011-06-10,0.87,1566531
2011-06-13,2.05,1713760
2011-06-14,0.6,1573309
2011-06-15,-4.48,1346578
2011-06-16,-3.0,1842123
2011-06-17,0.0,1713964
2011-06-20,-1.85,1537708
2011-06-21,5.84,1496562
2011-06-22,-1.16,1475532
2011-06-23,1.84,1169989
2011-06-24,-0.52,3608857
2011-06-27,-0.38,1809366
2011-06-28,2.37,889131
2011-06-29,0.64,1461707
2011-06-30,2.97,946653
2011-07-01,-0.38,854838
2011-07-05,0.41,995988
2011-07-06,-0.62,926888
2011-07-07,2.66,1327820
2011-07-08,-3.09,1240579
2011-07-11,-1.6,975702
2011-07-12,-0.63,1045405
2011-07-13,1.67,1065941
2011-07-14,-3.59,1159130
2011-07-15,-0.11,708954
2011-07-18,-1.27,852316
2011-07-19,2.42,1026047
2011-07-20,2.87,3048393
2011-07-21,0.03,1012005
2011-07-22,2.06,583868
2011-07-25,-2.73,673491
2011-07-26,-1.72,762932
2011-07-27,-1.29,958402
2011-07-28,1.92,938728
2011-07-29,0.0,948126
2011-08-01,2.13,1164821
2011-08-02,-4.97,1549319
2011-08-03,-0.52,1801328
2011-08-04,-9.01,3065595
2011-08-05,-2.06,1964375
2011-08-08,-2.48,2608571
2011-08-09,6.01,1333381
2011-08-10,-4.95,1564146
2011-08-11,6.22,836483
2011-08-12,3.99,1009019
2011-08-15,-0.3,738572
2011-08-16,-0.5,537688
2011-08-17,-1.03,643772
2011-08-18,-6.08,1056568
2011-08-19,-8.08,1375276
2011-08-22,-1.57,986180
2011-08-23,4.61,868967
2011-08-24,3.96,684238
2011-08-25,-3.18,680210
2011-08-26,2.68,761756
2011-08-29,4.13,803301
2011-08-30,-0.32,366659
2011-08-31,0.44,823734
2011-09-01,-2.99,848084
2011-09-02,-3.88,770330
2011-09-06,-0.57,809759
2011-09-07,3.92,459186
2011-09-08,-0.96,505697
2011-09-09,-2.71,669263
2011-09-12,-0.39,566571
2011-09-13,5.24,726461
2011-09-14,1.08,830776
2011-09-15,1.97,562512
2011-09-16,3.95,1417573
2011-09-19,-0.12,1157348
2011-09-20,0.93,1180350
2011-09-21,-0.62,987576
2011-09-22,-0.85,776001
2011-09-23,2.93,1156327
2011-09-26,-3.26,934714
2011-09-27,2.63,674429
2011-09-28,-6.11,723206
2011-09-29,-1.91,929544
2011-09-30,1.12,1336053
2011-10-03,-2.71,1023129
2011-10-04,-0.3,1200213
2011-10-05,7.23,1229413
2011-10-06,6.27,1769025
2011-10-07,0.11,1311547
2011-10-10,3.3,923415
2011-10-11,-0.97,576003
2011-10-12,0.68,1123363
2011-10-13,0.51,1043812
2011-10-14,0.39,1400468
2011-10-17,-2.25,754439
2011-10-18,3.35,999689
2011-10-19,-2.72,792849
2011-10-20,-0.83,999646
2011-10-21,2.52,1142549
2011-10-24,1.85,940549
2011-10-25,-1.05,654371
2011-10-26,-0.96,510479
2011-10-27,2.79,869334
2011-10-28,3.86,1264992
2011-10-31,-1.67,1133968
2011-11-01,-1.67,635775
2011-11-02,-0.59,875520
2011-11-03,13.06,2510602
2011-11-04,-0.46,3033106
2011-11-07,-3.22,1266268
2011-11-08,1.82,1167829
2011-11-09,-3.02,953655
2011-11-10,1.46,747273
2011-11-11,7.37,3875122
2011-11-14,-1.25,1325655
2011-11-15,2.14,890904
2011-11-16,2.98,1833135
2011-11-17,-3.61,1349264
2011-11-18,-3.21,902728
2011-11-21,-2.58,1031523
2011-11-22,0.98,732518
2011-11-23,-1.93,451813
2011-11-25,0.67,239595
2011-11-28,2.84,681124
2011-11-29,-2.49,591054
2011-11-30,3.12,760965
2011-12-01,-0.43,1030107
2011-12-02,2.15,802717
2011-12-05,3.36,1160049
2011-12-06,1.31,951809
2011-12-07,-1.95,674244
2011-12-08,-9.65,3305944
2011-12-09,0.49,1239443
2011-12-12,-2.03,758657
2011-12-13,-3.16,994014
2011-12-14,-3.12,1163839
2011-12-15,0.32,700261
2011-12-16,-2.16,1029604
2011-12-19,-0.89,986951
2011-12-20,0.54,844380
2011-12-21,-1.18,1705806
2011-12-22,0.72,1009801
2011-12-23,0.47,591390
2011-12-27,2.4,777402
2011-12-28,-0.21,575138
2011-12-29,0.77,488150
2011-12-30,-0.59,339860
2012-01-03,-1.68,928051
2012-01-04,-1.32,630036
2012-01-05,-2.13,1005431
2012-01-06,-0.77,986286
2012-01-09,1.27,896950
2012-01-10,1.35,671732
2012-01-11,2.21,672239
2012-01-12,0.07,729300
2012-01-13,-19.33,5506437
2012-01-17,16.72,4652385
2012-01-18,0.79,1260182
2012-01-19,-0.18,1246221
2012-01-20,-0.6,662289
2012-01-23,0.64,594533
2012-01-24,2.43,857913
2012-01-25,2.01,611112
2012-01-26,3.46,1271027
2012-01-27,1.35,748361
2012-01-30,0.82,728979
2012-01-31,-1.69,956712
2012-02-01,1.75,523169
2012-02-02,2.27,805609
2012-02-03,2.98,764418
2012-02-06,2.09,652161
2012-02-07,-0.63,1021502
2012-02-08,1.04,623626
2012-02-09,2.03,1277967
2012-02-10,-4.54,1874138
2012-02-13,1.25,1157857
2012-02-14,5.34,1811364
2012-02-15,1.3,2764475
2012-02-16,1.73,2219635
2012-02-17,2.31,1376644
2012-02-21,-1.34,1135787
2012-02-22,-0.81,1654984
2012-02-23,0.91,820344
2012-02-24,-2.26,959865
2012-02-27,-0.39,605953
2012-02-28,0.57,612183
2012-02-29,-1.18,535684
2012-03-01,2.99,703435
2012-03-02,-1.08,549971
2012-03-05,-0.79,466938
2012-03-06,-1.95,573749
2012-03-07,0.03,364831
2012-03-08,-0.15,633267
2012-03-09,5.05,1553422
2012-03-12,3.66,1964519
2012-03-13,0.22,1001642
2012-03-14,-2.22,851463
2012-03-15,-0.82,571596
2012-03-16,0.92,729236
2012-03-19,-0.96,1015585
2012-03-20,-0.06,567001
2012-03-21,0.54,607103
2012-03-22,-2.13,522353
2012-03-23,-0.93,1170566
2012-03-26,9.74,3140890
2012-03-27,1.44,2540052
2012-03-28,-0.24,954969
2012-03-29,-1.37,796334
2012-03-30,-0.24,886311
